State,City,Class
Andaman Nicobar,Nicobar,Class C
Andaman Nicobar,North Middle Andaman,Class C
Andaman Nicobar,South Andaman,Class C
Andhra Pradesh,Adoni,Class B
Andhra Pradesh,Anantapur,Class B
Andhra Pradesh,Chittoor,Class C
Andhra Pradesh,Eluru,Class B
Andhra Pradesh,East Godavari,Class C
Andhra Pradesh,Guntur,Class B
Andhra Pradesh,Kakinada,Class C
Andhra Pradesh,Kadapa,Class C
Andhra Pradesh,Krishna,Class C
Andhra Pradesh,Kurnool,Class B
Andhra Pradesh,Nellore,Class B
Andhra Pradesh,Ongole,Class B
Andhra Pradesh,Rajmundry,Class B
Andhra Pradesh,Prakasam,Class C
Andhra Pradesh,Srikakulam,Class C
Andhra Pradesh,Vijayawada,Class B
Andhra Pradesh,Visakhapatnam,Class B
Andhra Pradesh,Vizianagaram,Class B
Andhra Pradesh,West Godavari,Class C
Arunachal Pradesh,Anjaw,Class C
Arunachal Pradesh,Central Siang,Class C
Arunachal Pradesh,Changlang,Class C
Arunachal Pradesh,Dibang Valley,Class C
Arunachal Pradesh,East Kameng,Class C
Arunachal Pradesh,East Siang,Class C
Arunachal Pradesh,Kamle,Class C
Arunachal Pradesh,Kra Daadi,Class C
Arunachal Pradesh,Kurung Kumey,Class C
Arunachal Pradesh,Lepa Rada,Class C
Arunachal Pradesh,Lohit,Class C
Arunachal Pradesh,Longding,Class C
Arunachal Pradesh,Lower Dibang Valley,Class C
Arunachal Pradesh,Lower Siang,Class C
Arunachal Pradesh,Lower Subansiri,Class C
Arunachal Pradesh,Namsai,Class C
Arunachal Pradesh,Pakke Kessang,Class C
Arunachal Pradesh,Papum Pare,Class C
Arunachal Pradesh,Shi Yomi,Class C
Arunachal Pradesh,Tawang,Class C
Arunachal Pradesh,Tirap,Class C
Arunachal Pradesh,Upper Siang,Class C
Arunachal Pradesh,Upper Subansiri,Class C
Arunachal Pradesh,West Kameng,Class C
Arunachal Pradesh,West Siang,Class C
Assam,Bajali,Class C
Assam,Baksa,Class C
Assam,Barpeta,Class C
Assam,Biswanath,Class C
Assam,Bongaigaon,Class C
Assam,Cachar,Class C
Assam,Charaideo,Class C
Assam,Chirang,Class C
Assam,Darrang,Class C
Assam,Dhemaji,Class C
Assam,Dhubri,Class C
Assam,Dibrugarh,Class C
Assam,Dima Hasao,Class C
Assam,Goalpara,Class C
Assam,Golaghat,Class C
Assam,Hailakandi,Class C
Assam,Hojai,Class C
Assam,Jorhat,Class C
Assam,Kamrup,Class C
Assam,Kamrup Metropolitan,Class C
Assam,Karbi Anglong,Class C
Assam,Karimganj,Class C
Assam,Kokrajhar,Class C
Assam,Lakhimpur,Class C
Assam,Majuli,Class C
Assam,Morigaon,Class C
Assam,Nagaon,Class C
Assam,Nalbari,Class C
Assam,Sivasagar,Class C
Assam,Sonitpur,Class C
Assam,South Salmara-Mankachar,Class C
Assam,Tinsukia,Class C
Assam,Udalguri,Class C
Assam,West Karbi Anglong,Class C
Bihar,Araria,Class C
Bihar,Arwal,Class C
Bihar,Aurangabad,Class C
Bihar,Banka,Class C
Bihar,Barauni,Class B
Bihar,Bilaspur,Class B
Bihar,Begusarai,Class C
Bihar,Bhagalpur,Class B
Bihar,Bodhgaya,Class B
Bihar,Bhojpur,Class C
Bihar,Buxar,Class C
Bihar,Chhapra,Class B
Bihar,Darbhanga,Class C
Bihar,East Champaran,Class C
Bihar,Gaya,Class B
Bihar,Gopalganj,Class C
Bihar,Jamui,Class C
Bihar,Jehanabad,Class C
Bihar,Kaimur,Class C
Bihar,Katihar,Class B
Bihar,Khagaria,Class C
Bihar,Kishanganj,Class C
Bihar,Lakhisarai,Class C
Bihar,Madhepura,Class C
Bihar,Madhubani,Class C
Bihar,Motihari,Class B
Bihar,Munger,Class C
Bihar,Muzaffarpur,Class B
Bihar,Nalanda,Class C
Bihar,Nawada,Class C
Bihar,Patna,Class A
Bihar,Purnia,Class B
Bihar,Rajgir,Class B
Bihar,Rohtas,Class C
Bihar,Saharsa,Class C
Bihar,Samastipur,Class B
Bihar,Saran,Class C
Bihar,Sheikhpura,Class C
Bihar,Sheohar,Class C
Bihar,Sitamarhi,Class C
Bihar,Siwan,Class C
Bihar,Supaul,Class C
Bihar,Vaishali,Class C
Bihar,West Champaran,Class C
Chandigarh,Chandigarh,Class C
Chhattisgarh,Ambikapur,Class B
Chhattisgarh,Balod,Class C
Chhattisgarh,Baloda Bazar,Class C
Chhattisgarh,Balrampur,Class C
Chhattisgarh,Bastar,Class C
Chhattisgarh,Bemetara,Class C
Chhattisgarh,Bijapur,Class C
Chhattisgarh,Bilaspur,Class B
Chhattisgarh,Dantewada,Class C
Chhattisgarh,Dhamtari,Class B
Chhattisgarh,Durg,Class C
Chhattisgarh,Gariaband,Class C
Chhattisgarh,Gaurela Pendra Marwahi,Class C
Chhattisgarh,Janjgir Champa,Class C
Chhattisgarh,Jashpur,Class C
Chhattisgarh,Jagdalpur,Class B
Chhattisgarh,Kabirdham,Class C
Chhattisgarh,Kanker,Class C
Chhattisgarh,Kondagaon,Class C
Chhattisgarh,Korba,Class C
Chhattisgarh,Koriya,Class C
Chhattisgarh,Mahasamund,Class C
Chhattisgarh,Mungeli,Class C
Chhattisgarh,Narayanpur,Class C
Chhattisgarh,Raigarh,Class B
Chhattisgarh,Raipur,Class A
Chhattisgarh,Rajnandgaon,Class B
Chhattisgarh,Sukma,Class C
Chhattisgarh,Surajpur,Class C
Chhattisgarh,Surguja,Class C
Dadra Nagar Haveli,Dadra Nagar Haveli,Class C
Daman Diu,Daman,Class C
Daman Diu,Diu,Class C
Delhi,Central Delhi,Class C
Delhi,East Delhi,Class C
Delhi,New Delhi,Class C
Delhi,North Delhi,Class C
Delhi,North East Delhi,Class C
Delhi,North West Delhi,Class C
Delhi,Shahdara,Class C
Delhi,South Delhi,Class C
Delhi,South East Delhi,Class C
Delhi,South West Delhi,Class C
Delhi,West Delhi,Class C
Goa,North Goa,Class C
Goa,South Goa,Class C
Gujarat,Ahmedabad,Class A
Gujarat,Amreli,Class C
Gujarat,Anand,Class C
Gujarat,Aravalli,Class C
Gujarat,Banaskantha,Class C
Gujarat,Bharuch,Class C
Gujarat,Bhavnagar,Class B
Gujarat,Botad,Class C
Gujarat,Chhota Udaipur,Class C
Gujarat,Dahod,Class C
Gujarat,Dang,Class C
Gujarat,Devbhoomi Dwarka,Class C
Gujarat,Deesa ,Class B
Gujarat,Gandhinagar,Class C
Gujarat,Gir Somnath,Class C
Gujarat,Himmatnagar,Class B
Gujarat,Jamnagar,Class B
Gujarat,Junagadh,Class B
Gujarat,Kheda,Class C
Gujarat,Kutch,Class C
Gujarat,Mahisagar,Class C
Gujarat,Mehsana,Class C
Gujarat,Morbi,Class C
Gujarat,Narmada,Class C
Gujarat,Navsari,Class C
Gujarat,Panchmahal,Class C
Gujarat,Patan,Class C
Gujarat,Porbandar,Class C
Gujarat,Rajkot,Class B
Gujarat,Sabarkantha,Class C
Gujarat,Surat,Class B
Gujarat,Surendranagar,Class B
Gujarat,Tapi,Class C
Gujarat,Vadodara,Class B
Gujarat,Valsad,Class C
Haryana,Ambala,Class B
Haryana,Bhiwani,Class C
Haryana,Charkhi Dadri,Class C
Haryana,Faridabad,Class C
Haryana,Fatehabad,Class C
Haryana,Gurugram,Class A
Haryana,Hisar,Class B
Haryana,Jhajjar,Class C
Haryana,Jind,Class B
Haryana,Kaithal,Class C
Haryana,Karnal,Class B
Haryana,Kurukshetra,Class B
Haryana,Mahendragarh,Class C
Haryana,Mewat,Class C
Haryana,Palwal,Class C
Haryana,Panchkula,Class C
Haryana,Panipat,Class C
Haryana,Rewari,Class B
Haryana,Rohtak,Class B
Haryana,Sirsa,Class B
Haryana,Sonipat,Class C
Haryana,Yamunanagar,Class C
Himachal Pradesh,Bilaspur,Class B
Himachal Pradesh,Chamba,Class C
Himachal Pradesh,Hamirpur,Class C
Himachal Pradesh,Kangra,Class C
Himachal Pradesh,Kinnaur,Class C
Himachal Pradesh,Kullu,Class C
Himachal Pradesh,Lahaul Spiti,Class C
Himachal Pradesh,Mandi,Class B
Himachal Pradesh,Shimla,Class A
Himachal Pradesh,Sirmaur,Class C
Himachal Pradesh,Solan,Class C
Himachal Pradesh,Una,Class C
Jammu Kashmir,Anantnag,Class C
Jammu Kashmir,Bandipora,Class C
Jammu Kashmir,Baramulla,Class C
Jammu Kashmir,Budgam,Class C
Jammu Kashmir,Doda,Class C
Jammu Kashmir,Ganderbal,Class C
Jammu Kashmir,Jammu,Class C
Jammu Kashmir,Kathua,Class C
Jammu Kashmir,Kishtwar,Class C
Jammu Kashmir,Kulgam,Class C
Jammu Kashmir,Kupwara,Class C
Jammu Kashmir,Poonch,Class C
Jammu Kashmir,Pulwama,Class C
Jammu Kashmir,Rajouri,Class C
Jammu Kashmir,Ramban,Class C
Jammu Kashmir,Reasi,Class C
Jammu Kashmir,Samba,Class C
Jammu Kashmir,Shopian,Class C
Jammu Kashmir,Srinagar,Class C
Jammu Kashmir,Udhampur,Class C
Jharkhand,Bokaro,Class B
Jharkhand,Daltonganj,Class B
Jharkhand,Chatra,Class C
Jharkhand,Deoghar,Class B
Jharkhand,Dhanbad,Class B
Jharkhand,Dumka,Class C
Jharkhand,East Singhbhum,Class C
Jharkhand,Garhwa,Class C
Jharkhand,Giridih,Class C
Jharkhand,Godda,Class C
Jharkhand,Gumla,Class C
Jharkhand,Hazaribagh,Class B
Jharkhand,Jamtara,Class C
Jharkhand,Khunti,Class C
Jharkhand,Koderma,Class C
Jharkhand,Latehar,Class C
Jharkhand,Lohardaga,Class C
Jharkhand,Pakur,Class C
Jharkhand,Palamu,Class C
Jharkhand,Ramgarh,Class C
Jharkhand,Ranchi,Class A
Jharkhand,Sahebganj,Class C
Jharkhand,Seraikela Kharsawan,Class C
Jharkhand,Simdega,Class C
Jharkhand,West Singhbhum,Class C
Karnataka,Bagalkot,Class B
Karnataka,Bangalore Rural,Class B
Karnataka,Bangalore Urban,Class A
Karnataka,Belgaum,Class C
Karnataka,Bellary,Class B
Karnataka,Bijapur,Class B
Karnataka,Bidar,Class C
Karnataka,Chamarajanagar,Class C
Karnataka,Chikkaballapur,Class C
Karnataka,Chikkamagaluru,Class C
Karnataka,Chitradurga,Class C
Karnataka,Belagavi,Class B
Karnataka,Dakshina Kannada,Class C
Karnataka,Davanagere,Class B
Karnataka,Dharwad,Class C
Karnataka,Gokak,Class B
Karnataka,Gadag,Class C
Karnataka,Gulbarga,Class B
Karnataka,Hassan,Class B
Karnataka,Haveri,Class B
Karnataka,Hospet,Class B
Karnataka,Hubli,Class B
Karnataka,Kodagu,Class C
Karnataka,Kolar,Class C
Karnataka,Mangalore,Class B
Karnataka,Koppal,Class B
Karnataka,Mandya,Class C
Karnataka,Medikere,Class B
Karnataka,Mysore,Class A
Karnataka,Raichur,Class B
Karnataka,Ramanagara,Class C
Karnataka,Shimoga,Class B
Karnataka,Sindhnur,Class B
Karnataka,Tumkur,Class B
Karnataka,Udupi,Class C
Karnataka,Uttara Kannada,Class C
Karnataka,Vijayapura,Class C
Karnataka,Yadgir,Class C
Kerala,Alappuzha,Class C
Kerala,Ernakulam,Class C
Kerala,Idukki,Class C
Kerala,Kannur,Class C
Kerala,Kasaragod,Class C
Kerala,Kollam,Class C
Kerala,Kottayam,Class C
Kerala,Kozhikode,Class C
Kerala,Malappuram,Class C
Kerala,Palakkad,Class C
Kerala,Pathanamthitta,Class C
Kerala,Thiruvananthapuram,Class C
Kerala,Thrissur,Class C
Kerala,Wayanad,Class C
Lakshadweep,Lakshadweep,Class C
Ladakh,Kargil,Class C
Ladakh,Leh,Class C
Madhya Pradesh,Agar Malwa,Class C
Madhya Pradesh,Alirajpur,Class C
Madhya Pradesh,Anuppur,Class C
Madhya Pradesh,Ashoknagar,Class C
Madhya Pradesh,Balaghat,Class C
Madhya Pradesh,Barwani,Class B
Madhya Pradesh,Betul,Class C
Madhya Pradesh,Bhind,Class C
Madhya Pradesh,Bhopal,Class A
Madhya Pradesh,Burhanpur,Class B
Madhya Pradesh,Chachaura,Class C
Madhya Pradesh,Chhatarpur,Class C
Madhya Pradesh,Chhindwara,Class B
Madhya Pradesh,Damoh,Class C
Madhya Pradesh,Datia,Class C
Madhya Pradesh,Dewas,Class C
Madhya Pradesh,Dhar,Class B
Madhya Pradesh,Dindori,Class C
Madhya Pradesh,Guna,Class C
Madhya Pradesh,Gwalior,Class B
Madhya Pradesh,Harda,Class C
Madhya Pradesh,Hoshangabad,Class C
Madhya Pradesh,Indore,Class C
Madhya Pradesh,Jabalpur,Class B
Madhya Pradesh,Jhabua,Class B
Madhya Pradesh,Katni,Class C
Madhya Pradesh,Khandwa,Class B
Madhya Pradesh,Khargone,Class B
Madhya Pradesh,Maihar,Class C
Madhya Pradesh,Mandla,Class C
Madhya Pradesh,Mandsaur,Class B
Madhya Pradesh,Morena,Class C
Madhya Pradesh,Narsinghpur,Class C
Madhya Pradesh,Nagda,Class C
Madhya Pradesh,Neemuch,Class C
Madhya Pradesh,Niwari,Class C
Madhya Pradesh,Panna,Class C
Madhya Pradesh,Raisen,Class C
Madhya Pradesh,Rajgarh,Class C
Madhya Pradesh,Ratlam,Class B
Madhya Pradesh,Rewa,Class B
Madhya Pradesh,Sagar,Class C
Madhya Pradesh,Satna,Class B
Madhya Pradesh,Sehore,Class C
Madhya Pradesh,Seoni,Class C
Madhya Pradesh,Shahdol,Class B
Madhya Pradesh,Shajapur,Class C
Madhya Pradesh,Sheopur,Class C
Madhya Pradesh,Shivpuri,Class C
Madhya Pradesh,Sidhi,Class C
Madhya Pradesh,Singrauli,Class C
Madhya Pradesh,Tikamgarh,Class C
Madhya Pradesh,Ujjain,Class C
Madhya Pradesh,Umaria,Class C
Madhya Pradesh,Vidisha,Class C
Maharashtra,Ahmednagar,Class B
Maharashtra,Akola,Class B
Maharashtra,Amravati,Class B
Maharashtra,Aurangabad,Class B
Maharashtra,Boisar,Class B
Maharashtra,Beed,Class B
Maharashtra,Bhandara,Class C
Maharashtra,Buldhana,Class C
Maharashtra,Chandrapur,Class B
Maharashtra,Dhule,Class B
Maharashtra,Gadchiroli,Class C
Maharashtra,Gondia,Class C
Maharashtra,Hingoli,Class C
Maharashtra,Jalgaon,Class B
Maharashtra,Jalna,Class B
Maharashtra,Kolhapur,Class B
Maharashtra,Latur,Class C
Maharashtra,Malegaon,Class B
Maharashtra,Mumbai City,Class C
Maharashtra,Mumbai Suburban,Class C
Maharashtra,Nagpur,Class A
Maharashtra,Nanded,Class B
Maharashtra,Nandurbar,Class C
Maharashtra,Nashik,Class B
Maharashtra,Osmanabad,Class C
Maharashtra,Palghar,Class C
Maharashtra,Parbhani,Class C
Maharashtra,Pune,Class A
Maharashtra,Raigad,Class C
Maharashtra,Ratnagiri,Class B
Maharashtra,Sangli,Class B
Maharashtra,Satara,Class C
Maharashtra,Shiridi,Class B
Maharashtra,Sindhudurg,Class C
Maharashtra,Solapur,Class B
Maharashtra,Thane,Class A
Maharashtra,Wardha,Class B
Maharashtra,Washim,Class C
Maharashtra,Yavatmal,Class C
Manipur,Bishnupur,Class C
Manipur,Chandel,Class C
Manipur,Churachandpur,Class C
Manipur,Imphal East,Class C
Manipur,Imphal West,Class C
Manipur,Jiribam,Class C
Manipur,Kakching,Class C
Manipur,Kamjong,Class C
Manipur,Kangpokpi,Class C
Manipur,Noney,Class C
Manipur,Pherzawl,Class C
Manipur,Senapati,Class C
Manipur,Tamenglong,Class C
Manipur,Tengnoupal,Class C
Manipur,Thoubal,Class C
Manipur,Ukhrul,Class C
Meghalaya,East Garo Hills,Class C
Meghalaya,East Jaintia Hills,Class C
Meghalaya,East Khasi Hills,Class C
Meghalaya,North Garo Hills,Class C
Meghalaya,Ri Bhoi,Class C
Meghalaya,South Garo Hills,Class C
Meghalaya,South West Garo Hills,Class C
Meghalaya,South West Khasi Hills,Class C
Meghalaya,West Garo Hills,Class C
Meghalaya,West Jaintia Hills,Class C
Meghalaya,West Khasi Hills,Class C
Mizoram,Aizawl,Class C
Mizoram,Champhai,Class C
